Tipo,IDSucursal/Agencia
4,15
1,39
2,16
1,2
1,30
3,41
1,42
2,33
1,44
2,2
2,15
2,16
3,22
3,22
5,42
4,47
3,52
5,30
2,7
2,29
4,15
1,43
2,19
5,38
4,10
3,40
3,45
4,3
4,11
2,23
4,45
2,1
3,53
5,51
4,16
1,40
2,57
2,13
4,40
5,34
3,20
3,57
1,34
1,39
1,33
5,12
2,5
4,54
3,28
1,26
1,46
4,38
4,31
4,34
4,32
5,51
4,17
3,24
4,17
1,52
3,16
5,18
1,15
4,48
2,50
5,23
1,50
4,55
2,53
4,53
2,40
1,19
1,23
4,1
4,16
2,7
4,45
3,45
5,30
1,18
2,15
5,21
2,5
4,28
4,50
3,28
4,42
4,6
1,38
2,5
1,49
2,2
3,45
5,56
3,14
2,24
3,15
3,58
5,43
2,19
2,19
4,59
5,25
4,37
4,52
4,11
2,33
4,48
3,17
5,6
2,55
1,13
3,31
4,50
5,38
1,47
3,16
1,28
3,34
4,37
5,52
1,12
2,19
2,45
4,14
4,40
2,14
4,29
3,35
5,38
5,22
2,18
2,45
5,9
5,17
5,26
2,27
2,23
1,46
5,11
4,59
2,24
2,4
2,24
4,55
2,12
3,58
1,55
4,40
5,39
2,5
5,17
3,43
2,35
1,1
5,12
3,27
5,53
1,41
2,5
1,43
4,58
2,34
2,19
5,13
5,52
4,30
5,2
2,52
3,20
2,10
5,11
3,54
4,19
4,59
3,39
1,2
2,25
2,57
5,39
2,34
1,56
1,4
3,2
3,56
3,12
3,28
2,27
1,25
3,3
4,16
2,45
3,59
5,38
1,32
5,16
5,53
1,57
3,52
2,53
3,31
1,3
5,54
4,33
5,1
4,31
5,51
4,50
3,34
3,8
4,44
5,11
1,42
4,60
4,50
5,36
2,49
3,29
2,25
1,55
4,13
1,32
4,37
3,57
3,12
2,10
2,44
3,58
2,21
1,10
5,13
3,58
3,6
4,13
3,51
4,28
2,17
5,60
4,36
5,5
5,50
1,39
3,40
4,46
2,55
2,19
1,32
5,48
2,52
4,3
2,18
5,47
4,33
2,58
4,29
1,23
4,56
3,35
4,39
1,14
1,2
2,37
5,26
1,43
1,31
1,31
3,12
3,6
1,30
4,52
4,54
2,10
4,35
5,40
4,27
4,54
5,13
1,31
5,50
1,52
4,43
2,32
3,57
3,21
5,52
3,60
5,60
4,6
3,48
1,34
2,59
2,60
5,7
2,3
5,4
3,3
1,48
3,54
2,29
5,8
3,60
4,30
2,30
4,4
5,5
1,37
4,22
5,59
3,22
5,51
1,56
2,22
3,14
2,55
1,32
1,2
1,56
2,26
1,30
3,34
5,34
5,24
5,32
2,4
4,21
3,53
1,59
2,28
3,31
2,16
4,58
5,37
5,30
5,14
3,43
3,38
3,42
4,26
4,47
5,43
5,40
3,46
4,7
5,55
5,45
3,56
4,36
3,26
1,43
5,51
4,50
3,17
2,58
5,1
5,24
1,30
4,39
2,39
3,53
5,24
2,41
2,41
5,55
3,14
2,4
1,31
5,38
2,48
2,49
5,16
1,39
5,45
4,47
4,54
5,41
2,18
3,10
1,56
3,25
3,8
1,44
1,8
4,25
5,37
3,14
5,25
1,2
2,26
3,30
3,52
4,8
1,16
3,12
4,45
3,47
4,41
2,19
2,48
4,37
2,54
2,37
2,58
1,58
1,17
1,42
5,36
2,25
1,60
1,45
5,47
3,30
2,14
5,53
2,60
2,44
1,20
3,1
2,57
4,20
5,32
1,47
2,50
2,55
4,12
1,9
4,41
1,2
3,35
5,54
2,54
5,57
5,29
5,48
3,9
3,2
4,6
3,12
5,50
4,59
4,30
1,12
4,41
1,39
1,12
5,22
3,40
3,34
1,58
1,48
4,7
2,6
3,32
5,57
3,4
1,11
1,60
5,57
4,29
2,59
3,56
2,40
1,12
5,1
3,53
5,21
4,7
2,54
4,4
5,6
3,28
5,31
4,37
4,14
4,31
1,27
2,17
1,58
2,24
3,21
1,27
1,6
2,20
4,40
4,5
2,3
5,17
3,37
1,27
3,40
4,23
4,5
1,6
1,56
1,36
4,22
2,43
1,10
2,29
4,27
1,49
3,48
1,42
3,49
2,39
3,2
2,57
4,27
3,18
2,51
3,17
5,60
4,12
1,45
5,53
2,48
4,23
3,5
2,25
4,32
1,46
2,47
5,8
3,16
5,39
4,4
4,32
3,42
5,2
1,11
3,37
3,45
4,47
3,11
5,60
2,49
3,57
3,15
5,8
5,50
5,27
1,44
3,41
2,19
1,52
5,13
3,57
1,23
5,53
2,22
3,55
4,20
1,51
2,41
5,60
5,56
4,41
2,6
3,50
1,37
1,32
3,42
5,4
1,50
2,53
2,40
2,9
1,23
1,21
3,44
2,3
3,13
2,46
3,16
1,2
5,21
4,30
1,8
1,20
1,50
2,23
4,9
5,46
1,46
1,49
3,7
3,30
3,56
4,15
5,56
1,54
5,58
5,3
1,7
5,20
1,42
1,9
3,47
5,6
2,35
1,28
2,16
3,60
1,2
3,34
3,28
1,1
5,10
4,19
1,53
5,50
1,5
5,28
2,58
4,21
2,13
4,17
5,2
5,6
1,12
4,59
2,11
1,16
2,1
2,46
3,3
1,3
4,44
2,29
5,9
1,10
5,5
2,40
2,18
5,35
1,17
5,57
5,11
4,53
1,31
3,14
4,28
1,40
1,28
3,51
2,1
2,38
3,48
4,26
4,22
3,44
4,29
3,5
3,30
2,30
1,3
3,17
1,54
3,13
1,2
2,48
3,60
5,19
3,35
1,48
3,37
5,36
4,16
4,29
4,33
2,43
4,3
3,39
3,4
4,23
3,1
1,58
2,55
4,13
3,37
2,2
3,10
4,6
5,7
5,26
2,47
5,50
5,39
2,58
1,53
1,22
2,23
5,46
1,11
3,20
1,59
1,40
5,54
2,33
5,8
4,12
2,7
4,30
1,33
4,18
1,2
4,43
1,36
1,3
4,13
3,60
2,7
5,30
2,47
1,46
4,11
3,35
3,28
2,43
3,47
4,29
1,13
4,57
1,8
1,27
2,43
1,60
5,3
3,27
4,38
5,16
3,31
2,10
5,36
3,20
3,24
3,16
4,41
4,54
2,56
4,50
4,31
5,45
3,33
1,36
3,7
2,59
5,16
1,19
3,36
3,8
1,38
1,39
3,25
3,48
1,58
4,2
2,20
2,35
2,49
4,57
5,46
2,42
5,5
1,12
1,42
3,5
2,26
1,8
2,40
5,42
5,23
3,24
1,26
2,31
3,39
3,36
5,47
3,10
3,19
4,21
1,47
3,5
3,18
2,43
3,17
3,5
1,35
3,17
1,3
4,46
2,37
1,49
1,36
3,43
1,2
3,30
2,25
5,53
2,9
2,31
5,8
5,15
3,49
4,5
2,42
2,5
4,35
3,24
4,14
3,22
1,58
5,39
4,46
1,24
1,40
3,52
4,43
4,21
1,52
5,51
2,30
3,21
5,23
4,47
5,33
3,51
4,56
5,48
3,32
1,37
4,56
1,41
3,25
2,4
1,27
1,48
1,13
2,48
4,20
1,60
4,54
2,2
3,49
1,22
2,51
1,41
1,27
1,56
4,37
2,44
3,49
2,14
3,2
4,18
3,25
3,34
2,4
3,36
4,50
2,21
1,9
2,26
1,49
5,36
5,50
4,36
1,11
4,47
3,14
2,31
2,45
1,54
5,48
2,39
1,47
3,40
5,2
5,16
1,39
2,25
2,33
2,35
3,43
3,7
4,8
4,23
4,52
5,44
1,36
3,1
4,15
1,19
3,25
5,19
1,14
3,30
2,13
1,7
2,3
5,56
4,60
2,36
3,27
3,56
4,55
5,32
5,44
5,26
1,46
4,3
3,34
2,58
1,12
4,10
2,60
4,15
5,11
1,23
1,33
5,21
5,6
3,22
2,24
3,33
3,30
2,38
2,15
3,54
2,56
1,58
4,35
2,21
4,48
4,37
3,47
3,37
5,15
1,50
2,35
2,33
4,27
4,6
3,6
5,14
4,15
3,41
1,32
2,7
1,12
4,1
5,26
3,3
4,41
3,23
2,48
1,46
5,46
2,36
2,19
4,15
3,33
1,43
4,19
4,41
2,41
2,3
1,2
2,9
4,55
4,40
3,18
1,12
3,58
2,35
5,25
4,51
5,30
3,44
1,8
3,21
1,4
1,39
1,54
4,33
5,43
5,27
2,12
2,37
5,54
1,25
4,9
5,7
5,14
5,40
2,47
1,17
3,46
2,50
4,19
2,25
1,56
1,55
4,52
3,52
3,33
1,37
3,54
4,6
3,33
3,39
3,5
1,31
5,1
2,43
5,45
1,12
4,43
2,21
1,23
2,36
2,41
4,55
3,41
2,46
